first x,goalfunction,id,rel max,tabu tenure,int(time)
5,"15628,040791",16,"0,6210626686",30,20
10,"13852,064006",16,"0,5504848594",30,20
10,"13582,024649",16,"0,5397534205",30,21
5,"15258,963716",16,"0,6063954434",30,21
1,"10939,4803",16,"0,4347379764",30,21
1,"10912,289555",16,"0,4336574086",30,22
5,"14921,198508",16,"0,5929725605",30,22
10,"13010,709544",16,"0,5170492001",30,22
1,"10909,133899",16,"0,433532002",30,23
5,"14876,23715",16,"0,5911857837",30,23
10,"12907,996942",16,"0,5129673728",30,23
5,"14685,118693",16,"0,5835906833",30,24
1,"10856,910134",16,"0,4314566151",30,24
10,"12650,119546",16,"0,5027192537",30,24
10,"12513,003494",16,"0,4972702238",30,25
1,"10597,195875",16,"0,4211354985",30,25
5,"13573,304776",16,"0,5394068904",30,25
1,"10495,437125",16,"0,4170915776",30,26
5,"12736,386839",16,"0,5061475398",30,26
10,"12285,021231",16,"0,4882101455",30,26
5,"12533,79598",16,"0,498096523",30,27
10,"12101,68395",16,"0,4809242713",30,27
1,"10470,350454",16,"0,4160946264",30,27
1,"10359,457877",16,"0,4116877247",30,28
5,"11932,853365",16,"0,474214897",30,28
10,"11793,39728",16,"0,4686728736",30,28
1,"10242,655209",16,"0,4070459543",30,29
10,"11612,662451",16,"0,4614904214",30,29
5,"11138,751193",16,"0,4426570568",30,29
5,"10885,579143",16,"0,4325959295",30,30
1,"10028,423622",16,"0,3985323317",30,30
10,"11412,953958",16,"0,4535539506",30,30
1,"9959,6329734",16,"0,3957985723",30,31
10,"11412,953958",16,"0,4535539506",30,31
5,"10697,326073",16,"0,4251147003",30,31
10,"11077,237896",16,"0,4402125014",30,32
1,"9888,9232021",16,"0,3929885464",30,32
5,"10593,718322",16,"0,4209972996",30,32
5,"10503,184502",16,"0,4173994605",30,33
10,"10942,442432",16,"0,4348556923",30,33
1,"9813,2988156",16,"0,3899832123",30,33
10,"10942,442432",16,"0,4348556923",30,34
5,"10188,365573",16,"0,4048884691",30,34
1,"9650,9863002",16,"0,383532868",30,34
10,"10475,440024",16,"0,4162968873",30,35
1,"9551,568954",16,"0,3795819952",30,35
5,"8917,3831309",16,"0,3543792749",30,35
1,"9551,568954",16,"0,3795819952",30,36
10,"10064,267326",16,"0,3999567704",30,36
5,"8395,3920185",16,"0,3336352036",30,36
10,"9933,8579453",16,"0,3947742655",30,37
5,"8284,0672752",16,"0,3292111275",30,37
1,"9232,0100609",16,"0,3668826363",30,37
5,"8137,9862039",16,"0,3234058252",30,38
1,"9042,344398",16,"0,3593452703",30,38
10,"9614,4222506",16,"0,3820798026",30,38
10,"9417,2998633",16,"0,3742461043",30,39
5,"7972,6185283",16,"0,316834068",30,39
1,"8859,0071179",16,"0,352059396",30,39
5,"7901,908757",16,"0,3140240421",30,40
1,"8103,7188467",16,"0,322044031",30,40
10,"9144,2192925",16,"0,3633938068",30,40
10,"9080,3411686",16,"0,3608552725",30,41
1,"7946,7884622",16,"0,315807574",30,41
5,"7727,0753312",16,"0,3070761134",30,41
5,"7558,6310521",16,"0,3003820911",30,42
10,"8862,7583489",16,"0,352208471",30,42
1,"7835,3585614",16,"0,3113793189",30,42
5,"7459,213706",16,"0,2964312182",30,43
10,"8622,8808692",16,"0,3426756735",30,43
1,"7538,5897321",16,"0,2995856435",30,43
5,"7363,0808521",16,"0,292610872",30,44
1,"7411,6522286",16,"0,2945411119",30,44
10,"8406,475222",16,"0,3340756532",30,44
10,"8275,0367212",16,"0,3288522507",30,45
5,"7261,9271172",16,"0,2885909945",30,45
1,"7257,0291139",16,"0,2883963465",30,45
5,"7197,6403879",16,"0,2860362221",30,46
1,"6869,4249265",16,"0,2729928488",30,46
10,"8115,302991",16,"0,3225043881",30,46
5,"7114,9093282",16,"0,2827484669",30,47
10,"7893,8790853",16,"0,3137049407",30,47
1,"6626,7859439",16,"0,2633503084",30,47
5,"7032,9370499",16,"0,2794908659",30,48
1,"6277,7914983",16,"0,2494811725",30,48
10,"7830,8974378",16,"0,3112020326",30,48
5,"6939,6375054",16,"0,2757831161",30,49
10,"7677,0513064",16,"0,3050881448",30,49
1,"6261,8121084",16,"0,2488461471",30,49
10,"7637,0147766",16,"0,303497082",30,50
1,"6182,8439543",16,"0,2457079308",30,50
5,"6849,517396",16,"0,272201718",30,50
1,"6060,1271883",16,"0,2408311326",30,51
5,"6746,0483752",16,"0,2680898305",30,51
10,"7384,7560317",16,"0,2934722496",30,51
1,"6040,8695734",16,"0,2400658296",30,52
5,"6746,0483752",16,"0,2680898305",30,52
10,"7209,9226059",16,"0,2865243209",30,52
10,"7209,9226059",16,"0,2865243209",30,53
5,"6397,5318409",16,"0,2542396869",30,53
1,"5999,1044715",16,"0,2384060729",30,53
10,"7032,3820355",16,"0,2794688094",30,54
5,"6346,2473297",16,"0,2522016262",30,54
1,"5862,9841398",16,"0,2329966132",30,54
5,"6235,276906",16,"0,2477916309",30,55
1,"5862,9841398",16,"0,2329966132",30,55
10,"6753,5681478",16,"0,2683886683",30,55
1,"5848,1320028",16,"0,2324063852",30,56
5,"6100,4814425",16,"0,2424348218",30,56
10,"6654,5898915",16,"0,264455245",30,56
1,"5774,4464617",16,"0,2294781014",30,57
10,"6518,4811366",16,"0,2590462454",30,57
5,"6100,4814425",16,"0,2424348218",30,57
5,"5949,7909669",16,"0,2364463406",30,58
10,"6445,627215",16,"0,2561510104",30,58
1,"5722,3831486",16,"0,2274090909",30,58
5,"5862,8607663",16,"0,2329917103",30,59
10,"6348,2362784",16,"0,2522806676",30,59
1,"5659,3485868",16,"0,22490408",30,59
10,"6295,0136637",16,"0,2501655861",30,60
5,"5787,534812",16,"0,2299982361",30,60
1,"5626,3728211",16,"0,2235936139",30,60
1,"24524,938671",17,1,30,0
5,"24524,938671",17,1,30,0
10,"24524,938671",17,1,30,0
1,"15229,416553",17,"0,6209767436",30,1
5,"20671,384434",17,"0,8428720133",30,1
10,"17525,668483",17,"0,7146060065",30,1
1,"14557,233829",17,"0,5935686129",30,2
5,"18644,114299",17,"0,7602104351",30,2
10,"15833,073407",17,"0,6455907441",30,2
1,"13447,403348",17,"0,548315473",30,3
5,"17249,05263",17,"0,7033270444",30,3
10,"15255,332108",17,"0,6220334457",30,3
1,"12897,137366",17,"0,5258784757",30,4
10,"14889,100507",17,"0,6071004175",30,4
5,"16061,958181",17,"0,65492348",30,4
1,"12402,754203",17,"0,5057200904",30,5
5,"15901,112897",17,"0,6483650422",30,5
10,"14476,561214",17,"0,5902792014",30,5
5,"15847,518104",17,"0,6461797241",30,6
1,"6581,0842904",17,"0,2683425381",30,6
10,"13612,484339",17,"0,555046621",30,6
5,"15112,480371",17,"0,6162086916",30,7
10,"12859,028698",17,"0,5243246016",30,7
1,"5879,1969311",17,"0,2397232062",30,7
5,"14486,915604",17,"0,5907013998",30,8
1,"5696,1640841",17,"0,2322600745",30,8
10,"12251,622831",17,"0,4995577357",30,8
10,"12142,882358",17,"0,4951238623",30,9
1,"5544,7139293",17,"0,2260847215",30,9
5,"14298,1705",17,"0,5830053519",30,9
