1,2,3,4,5,6
"21079,683274","20159,474846","19713,110957",,,
"21079,683274","20254,248393","19713,110957",,,
"19017,803964","18090,18212","17246,490397",,,
"19017,803964","18150,801043","17376,355483",,,
"19017,803964","18090,18212","17246,490397",,,
"32629,283662","30255,946445","27859,831659","25809,41915",,
"32759,171004","30484,202561","28304,801689","26007,362671",,
"32629,283662","30133,348357","27859,831659","25809,41915",,
"33434,681434","20875,881743","19864,496214","18822,636772","18520,78333",
"33722,378985","20875,881743","19735,75844","18693,203508","18520,78333",
"33434,681434","20875,881743","19735,75844","18693,203508","18520,78333",
"18397,750115","16945,93407","7297,1029276","5993,7182439",,
"14756,797773","12725,746211","9899,5508364","9320,0065279",,
"24694,035294","19368,932766","17146,559597","16971,406658",,
"27130,375501","14828,129912","9277,0563201","3965,2594588",,
"19386,530184","9007,59063","5397,6304636","3175,3724018","2679,849036",
"14421,294302","9021,7394371","8664,8590428","3490,8461178",,
"29572,675643","24817,220537","21925,205027",,,
"15112,440482","11397,017759","8702,2242943",,,
"28734,018321","15409,95238","10293,430254",,,
"27329,759657","23425,006387","15055,025572","9989,8980056",,
"21686,605875","18767,800634","14845,559376","13798,176276","12077,006841",
"15266,134716","9712,3652881","3621,6297878","1006,5342189",0,
"16890,010533","4308,8622782","4071,2964868","3138,632086","1926,1301122",
"27636,954308","18446,866279","12586,9508","10940,092557","8010,3178579",
"27381,790299","25465,696061","24626,830244","21664,057755","15631,074413",
"17110,53179","16318,466368","13079,339138","11659,190265","9433,7170116","7015,7210063"
"22460,734192","19188,515914","14574,951485","9901,6837282","8636,5774697","8290,3314092"
"38462,003368","35416,015758","33329,145719","31888,92229","30302,533737","29591,336684"
"19817,129039","12004,728323","10533,83422","8944,3689813",,
"23336,25948","15782,690688","12264,613597","9617,7290871",,
"23249,969559","13432,738717","5092,387851","1303,7404746",,
"15681,894832","4634,4464876",0,,,
"31072,975794","26728,626427","12815,344717",,,
"28306,753773","18208,050279","17127,358348",,,
"24794,874156","21799,898712","20437,139592","18546,595071",,
"15386,687443","10087,611086","5593,7534012",,,
"32725,12696","27196,432047","23567,209928","21892,555222",,
"16569,375709","9364,1710137","9162,3669891",,,
"11362,893603","4634,3172953",0,,,
"11053,163105","889,47817664","789,7493266",,,
"16720,197021","6810,8197139","3517,2105914","610,71052465",0,
"14028,112394","7389,3916742","1349,4117767","115,78523403",,
"17494,612093","10498,749437","9974,2696012","2714,2132281",,
"17400,199945","6236,8968898","918,07751914",0,,
"26791,347154","25647,768997","23893,434941","23845,991408",,
"17088,266756","13197,475714","7139,648539",,,
"19356,590306","17266,9653","16750,614924",,,
"17474,123896","7729,3370432","7442,7321916",,,
